﻿#,"REDCap MLM"
#,"v16.1.6"
#,"2026-04-14 09:42:24"
#,"How to use this file: Any information above the column title row is purely informational and will be ignored during import. The column title row must remain intact, i.e. the row 'section,type,name,index,kind,text' (the delimiter can be either comma, as shown, or semicolon or tab) and be the first non-empty line that is not staring with # (denoting comments). The essential lines are those with 'translation' or 'value' in the 'kind' column. In these lines, the translation (or value) in the 'text' column can be edited. All other lines (except the 'hash' kind. see below) are ignored when the file is imported. Do not change the contents of the 'section', 'type', 'name', 'index', and 'kind' columns at all. Furthermore, subsets of this file can be created and used at will, as long as the rules layed out above are observed. The 'hash'-kind rows are not essential, but assist in tracking if a default value has changed since the file was created, and thus a translation may be out of date. During an import operation, a best-effort approach is taken. Any items that cannot be matched during import will be silently ignored. Thus, a cross-project import of field translations would only work for fields of the same name."
#,
section,type,name,index,kind,text
fieldTranslations,label,cancer_stage,,translation,"Précisez le stade le plus élevé du cancer :"
fieldTranslations,enum,cancer_stage,1,default,"Stage 1"
fieldTranslations,enum,cancer_stage,1,hash,"2efd0a1b95"
fieldTranslations,enum,cancer_stage,1,translation,"Stade 1"
fieldTranslations,enum,cancer_stage,2,default,"Stage 2"
fieldTranslations,enum,cancer_stage,2,hash,"754b2c1e33"
fieldTranslations,enum,cancer_stage,2,translation,"Stade 2"
fieldTranslations,enum,cancer_stage,3,default,"Stage 3"
fieldTranslations,enum,cancer_stage,3,hash,"b3b520c802"
fieldTranslations,enum,cancer_stage,3,translation,"Stade 3"
fieldTranslations,enum,cancer_stage,4,default,"Stage 4"
fieldTranslations,enum,cancer_stage,4,hash,"a10e662e10"
fieldTranslations,enum,cancer_stage,4,translation,"Stade 4"
fieldTranslations,label,cancer_outcome,,default,"Specify cancer outcome:
"
fieldTranslations,label,cancer_outcome,,hash,"12467e3b37"
fieldTranslations,label,cancer_outcome,,translation,"Préciser l'issue du cancer :"
fieldTranslations,enum,cancer_outcome,1,default,"Still active"
fieldTranslations,enum,cancer_outcome,1,hash,"ce1116c9cd"
fieldTranslations,enum,cancer_outcome,1,translation,"Actif"
fieldTranslations,enum,cancer_outcome,2,default,"In remission"
fieldTranslations,enum,cancer_outcome,2,hash,"9ffaff5133"
fieldTranslations,enum,cancer_outcome,2,translation,"En rémission"
fieldTranslations,enum,cancer_outcome,3,default,"Recovered"
fieldTranslations,enum,cancer_outcome,3,hash,"e9d2ef211b"
fieldTranslations,enum,cancer_outcome,3,translation,"Rétabli"
fieldTranslations,header,cancer_surgery,,default,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>CANCER TREATMENT HISTORY</strong></p>"
fieldTranslations,header,cancer_surgery,,hash,"b89cc7874b"
fieldTranslations,header,cancer_surgery,,translation,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>HISTORIQUE DES TRAITEMENTS CONTRE LE CANCER</strong></p>"
fieldTranslations,label,cancer_surgery,,default,"Did the participant have surgery for this cancer?
"
fieldTranslations,label,cancer_surgery,,hash,"6aaa3c7ed4"
fieldTranslations,label,cancer_surgery,,translation,"Le participant, a-t-il subi une intervention chirurgicale pour ce cancer ?"
fieldTranslations,label,cancer_surgury_num,,default,"(If Yes) How many surgeries?
"
fieldTranslations,label,cancer_surgury_num,,hash,"6baa39c119"
fieldTranslations,label,cancer_surgury_num,,translation,"(Si oui) Combien d'interventions chirurgicales ?"
fieldTranslations,note,cancer_surgury_num,,default,"Number of surgeries."
fieldTranslations,note,cancer_surgury_num,,hash,"3d38696878"
fieldTranslations,note,cancer_surgury_num,,translation,"Nombre d'interventions chirurgicales."
fieldTranslations,label,cancer_surgery_name,,default,"(If Yes) Specify the surgery/ies:
"
fieldTranslations,label,cancer_surgery_name,,hash,"aa552bc20d"
fieldTranslations,label,cancer_surgery_name,,translation,"(Si oui) Précisez la/les intervention(s) chirurgicale(s) :"
fieldTranslations,label,cancer_chemo,,default,"Did the participant receive chemotherapy for this cancer?
"
fieldTranslations,label,cancer_chemo,,hash,"2631e5895e"
fieldTranslations,label,cancer_chemo,,translation,"Le participant, a-t-il reçu un traitement par chimiothérapie pour ce cancer ?"
fieldTranslations,enum,cancer_chemo,1,default,"Yes"
fieldTranslations,enum,cancer_chemo,1,hash,"5397e0583f"
fieldTranslations,enum,cancer_chemo,1,translation,"Oui"
fieldTranslations,enum,cancer_chemo,0,default,"No"
fieldTranslations,enum,cancer_chemo,0,hash,"816c52fd2b"
fieldTranslations,enum,cancer_chemo,0,translation,"Non"
fieldTranslations,enum,cancer_chemo,-992,default,"Don't know"
fieldTranslations,enum,cancer_chemo,-992,hash,"3bb9b8e85c"
fieldTranslations,enum,cancer_chemo,-992,translation,"Je ne sais pas"
fieldTranslations,label,chemo_ongoing,,default,"Chemotherapy ongoing?"
fieldTranslations,label,chemo_ongoing,,hash,"76916bdee4"
fieldTranslations,label,chemo_ongoing,,translation,"Est ce que la chimiothérapie en cours ?"
fieldTranslations,label,cancer_chemo_complete,,default,"Specify date chemotherapy completed:
"
fieldTranslations,label,cancer_chemo_complete,,hash,"59ab8714ae"
fieldTranslations,label,cancer_chemo_complete,,translation,"Précisez la date de fin de la chimiothérapie :"
fieldTranslations,note,cancer_chemo_complete,,default,"DD-MM-YYYY"
fieldTranslations,note,cancer_chemo_complete,,hash,"d7e5fe50fe"
fieldTranslations,note,cancer_chemo_complete,,translation,"JJ-MM-AAAA"
fieldTranslations,label,cancer_radiotherapy,,default,"Did the participant receive radiotherapy for this cancer?
"
fieldTranslations,label,cancer_radiotherapy,,hash,"38769f163f"
fieldTranslations,label,cancer_radiotherapy,,translation,"Le participant, a-t-il reçu un traitement par radiothérapie pour ce cancer ?"
fieldTranslations,enum,cancer_radiotherapy,1,default,"Yes"
fieldTranslations,enum,cancer_radiotherapy,1,hash,"5397e0583f"
fieldTranslations,enum,cancer_radiotherapy,1,translation,"Oui"
fieldTranslations,enum,cancer_radiotherapy,0,default,"No"
fieldTranslations,enum,cancer_radiotherapy,0,hash,"816c52fd2b"
fieldTranslations,enum,cancer_radiotherapy,0,translation,"Non"
fieldTranslations,enum,cancer_radiotherapy,-992,default,"Don't know"
fieldTranslations,enum,cancer_radiotherapy,-992,hash,"3bb9b8e85c"
fieldTranslations,enum,cancer_radiotherapy,-992,translation,"Je ne sais pas"
